A16S.MEG_10_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_A16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3391_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3392_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3393_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3394_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3395_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3396_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
IMP.MEG_3397_Drugs_betalactams_Class_B_betalactamases_IMP was removed because it failed filtering checks, so removing its metadata
IND.MEG_3421_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
IND.MEG_3422_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
IND.MEG_3423_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
IND.MEG_3424_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
IND.MEG_3425_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
IND.MEG_3426_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
IND.MEG_3427_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
IND.MEG_3428_Drugs_betalactams_Class_B_betalactamases_IND was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3487_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3490_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3495_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3507_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3508_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3509_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3510_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
KPC.MEG_3511_Drugs_betalactams_Class_A_betalactamases_KPC was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3546_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3548_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3551_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3552_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3553_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3554_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3555_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3564_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3565_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3566_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3567_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3574_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3575_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3576_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3578_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
LEN.MEG_3579_Drugs_betalactams_Class_A_betalactamases_LEN was removed because it failed filtering checks, so removing its metadata
MDR23S.MEG_3740_Drugs_Multi_drug_resistance_MDR_23S_rRNA_mutation_MDR23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MEPA.MEG_3834_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_MATE_efflux_pumps_MEPA was removed because it failed filtering checks, so removing its metadata
MERA.MEG_3839_Metals_Mercury_resistance_Mercury_resistance_protein_MERA was removed because it failed filtering checks, so removing its metadata
MERA.MEG_3840_Metals_Mercury_resistance_Mercury_resistance_protein_MERA was removed because it failed filtering checks, so removing its metadata
MEXA.MEG_3900_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_RND_efflux_pumps_MEXA was removed because it failed filtering checks, so removing its metadata
MEXB.MEG_3902_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_RND_efflux_pumps_MEXB was removed because it failed filtering checks, so removing its metadata
MEXR.MEG_3925_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_RND_efflux_regulator_MEXR was removed because it failed filtering checks, so removing its metadata
MEXR.MEG_3926_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_RND_efflux_regulator_MEXR was removed because it failed filtering checks, so removing its metadata
MEXR.MEG_3927_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_RND_efflux_regulator_MEXR was removed because it failed filtering checks, so removing its metadata
MIR.MEG_3955_Drugs_betalactams_Class_C_betalactamases_MIR was removed because it failed filtering checks, so removing its metadata
MIR.MEG_3972_Drugs_betalactams_Class_C_betalactamases_MIR was removed because it failed filtering checks, so removing its metadata
MIR.MEG_3974_Drugs_betalactams_Class_C_betalactamases_MIR was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3975_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3976_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3977_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3978_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3979_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3980_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3981_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3982_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3983_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3984_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3985_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3986_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3987_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3988_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3989_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3990_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3991_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3992_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3993_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MLS23S.MEG_3994_Drugs_MLS_Macrolide_resistant_23S_rRNA_mutation_MLS23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
MOX.MEG_4025_Drugs_betalactams_Class_C_betalactamases_MOX was removed because it failed filtering checks, so removing its metadata
MPHD.MEG_4041_Drugs_MLS_Macrolide_phosphotransferases_MPHD was removed because it failed filtering checks, so removing its metadata
NDM.MEG_4159_Drugs_betalactams_Class_B_betalactamases_NDM was removed because it failed filtering checks, so removing its metadata
NIKR.MEG_4175_Metals_Nickel_resistance_Nickel_ABC_efflux_regulator_NIKR was removed because it failed filtering checks, so removing its metadata
NIKR.MEG_4176_Metals_Nickel_resistance_Nickel_ABC_efflux_regulator_NIKR was removed because it failed filtering checks, so removing its metadata
NIMA.MEG_4178_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMA was removed because it failed filtering checks, so removing its metadata
NIME.MEG_4184_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIME was removed because it failed filtering checks, so removing its metadata
NIME.MEG_4185_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIME was removed because it failed filtering checks, so removing its metadata
NIMF.MEG_4186_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMF was removed because it failed filtering checks, so removing its metadata
NIMH.MEG_4187_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMH was removed because it failed filtering checks, so removing its metadata
NIMI.MEG_4189_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMI was removed because it failed filtering checks, so removing its metadata
NIMI.MEG_4190_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMI was removed because it failed filtering checks, so removing its metadata
NIMI.MEG_4191_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMI was removed because it failed filtering checks, so removing its metadata
NIMI.MEG_4192_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMI was removed because it failed filtering checks, so removing its metadata
NIMI.MEG_4193_Drugs_Metronidazole_nim_nitroimidazole_reductase_NIMI was removed because it failed filtering checks, so removing its metadata
NMPC.MEG_4204_Biocides_Paraquat_resistance_Paraquat_resistance_protein_NMPC was removed because it failed filtering checks, so removing its metadata
NORA.MEG_4206_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_MFS_efflux_pumps_NORA was removed because it failed filtering checks, so removing its metadata
O23S.MEG_4223_Drugs_Oxazolidinone_Oxazolidinone_resistant_23S_rRNA_mutation_O23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
OKP.MEG_4244_Drugs_betalactams_Class_A_betalactamases_OKP was removed because it failed filtering checks, so removing its metadata
OKP.MEG_4274_Drugs_betalactams_Class_A_betalactamases_OKP was removed because it failed filtering checks, so removing its metadata
OMP38.MEG_4284_Drugs_betalactams_Mutant_porin_proteins_OMP38 was removed because it failed filtering checks, so removing its metadata
OPCM.MEG_4291_Drugs_Multi_drug_resistance_Multi_drug_RND_efflux_pumps_OPCM was removed because it failed filtering checks, so removing its metadata
OPRM.MEG_4299_Biocides_Multi_biocide_resistance_Multi_biocide_RND_efflux_pump_OPRM was removed because it failed filtering checks, so removing its metadata
OQXB.MEG_4367_Multi_compound_Drug_and_biocide_resistance_Drug_and_biocide_RND_efflux_pumps_OQXB was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4763_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4765_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4773_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4776_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4840_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4888_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4890_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4906_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4961_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4962_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4963_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_4964_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5103_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5146_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5148_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5154_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5202_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5203_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5205_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5206_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5207_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5208_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5211_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5215_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5216_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5217_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5219_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5220_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5221_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5222_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5225_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5226_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5227_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5228_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5229_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5230_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5231_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5232_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5233_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5234_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5235_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5236_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5237_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5238_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5239_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5240_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5241_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5244_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5245_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5246_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5247_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5248_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5249_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5250_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5251_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5252_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5253_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5256_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5257_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5258_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5259_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5261_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5265_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5275_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXA.MEG_5277_Drugs_betalactams_Class_D_betalactamases_OXA was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5284_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5310_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5311_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5312_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5313_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5314_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5315_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5316_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5317_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5318_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
OXY.MEG_5319_Drugs_betalactams_Class_A_betalactamases_OXY was removed because it failed filtering checks, so removing its metadata
P16S.MEG_5322_Drugs_Pactamycin_Pactamycin_resistant_16S_ribosomal_subunit_protein_P16S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
P23S.MEG_5323_Drugs_Pleuromutilin_Pleuromutilin_resistant_23S_rRNA_mutation_P23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
PARC.MEG_5328_Drugs_Fluoroquinolones_Fluoroquinolone_resistant_DNA_topoisomerases_PARC_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
PARC.MEG_5330_Drugs_Fluoroquinolones_Fluoroquinolone_resistant_DNA_topoisomerases_PARC_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
PARC.MEG_5331_Drugs_Fluoroquinolones_Fluoroquinolone_resistant_DNA_topoisomerases_PARC_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
PBP2.MEG_5403_Drugs_betalactams_Penicillin_binding_protein_PBP2 was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5724_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5725_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5726_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5727_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5728_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5729_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5730_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5731_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5732_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5733_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5734_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5735_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5736_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5737_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5738_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5739_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5740_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5741_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5742_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5743_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PDC.MEG_5744_Drugs_betalactams_Class_C_betalactamases_PDC was removed because it failed filtering checks, so removing its metadata
PER.MEG_5766_Drugs_betalactams_Class_A_betalactamases_PER was removed because it failed filtering checks, so removing its metadata
PH23S.MEG_5781_Drugs_Phenicol_Phenicol_resistant_23S_rRNA_mutation_PH23S_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
POM.MEG_5807_Drugs_betalactams_Class_B_betalactamases_POM was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_5922_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_5923_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_5958_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_5959_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_5968_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_5969_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_5970_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_6001_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_6002_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_6003_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_6004_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_6006_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRB.MEG_6007_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRB was removed because it failed filtering checks, so removing its metadata
QNRS.MEG_6019_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRS was removed because it failed filtering checks, so removing its metadata
QNRS.MEG_6022_Drugs_Fluoroquinolones_Quinolone_resistance_protein_Qnr_QNRS was removed because it failed filtering checks, so removing its metadata
RECG.MEG_6052_Metals_Chromium_resistance_Chromium_resistance_protein_RECG was removed because it failed filtering checks, so removing its metadata
RMTB.MEG_6065_Drugs_Aminoglycosides_16S_rRNA_methyltransferases_RMTB was removed because it failed filtering checks, so removing its metadata
RRSA.MEG_6145_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_RRSA_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
RRSC.MEG_6146_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_RRSC_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
RRSH.MEG_6147_Drugs_Aminoglycosides_Aminoglycoside_resistant_16S_ribosomal_subunit_protein_RRSH_RequiresSNPConfirmation was removed because it failed filtering checks, so removing its metadata
RUVB.MEG_6153_Multi_compound_Biocide_and_metal_resistance_Biocide_and_metal_resistance_protein_RUVB was removed because it failed filtering checks, so removing its metadata
